Joint 1_st,Joint 2_st,Joint 3_st,Joint 4_st,Joint 1_sw,Joint 2_sw,Joint 3_sw,Joint 4_sw,Joint 5_st,Joint 6_st,Joint 7_st,Joint 8_st,Joint 5_sw,Joint 6_sw,Joint 7_sw,Joint 8_sw
1680.465563,2115.012224,2337.723636,2153.151173,2227.445969,2292.960303,1562.651365,1839.049149,1442.6741,1801.951247,2120.624723,2687.489577,2638.085384,1989.012542,1296.748533,1296.748533
1837.874624,2081.152878,2401.347592,2031.098739,2275.529133,2270.250795,1426.512514,1885.563077,1480.081912,1866.919728,1970.506635,2550.884478,2772.667792,1977.830721,1195.893563,1195.893563
2001.414486,2045.460708,2467.449588,1893.749843,2312.452231,2243.757093,1326.039311,1946.910261,1541.223186,1883.187689,1899.29611,2376.567048,2858.614955,2002.990912,1203.479402,1203.479402
1998.262576,2048.122307,2451.045295,1879.709899,2320.220751,2225.744249,1298.123376,2018.233232,1651.845771,1998.452695,1819.314963,2130.864664,2893.482663,2043.755345,1228.751013,1228.751013
1990.303787,2058.192224,2406.699315,1876.780168,2289.504927,2223.175803,1351.666719,2107.442253,1785.786023,2009.150831,1767.431575,1980.856575,2866.554116,2076.970139,1214.272591,1214.272591
1981.357008,2077.863397,2345.062299,1876.191652,2219.639736,2237.713785,1467.581741,2235.215323,1900.526622,1891.109189,1680.237159,1940.72387,2758.83993,2077.065303,1135.927557,1135.927557
1975.074338,2109.394486,2276.731195,1869.290066,2117.461829,2257.615421,1633.883877,2375.571292,2136.31831,1997.121835,1676.423683,1838.967352,2477.108564,2125.111265,1135.905855,1135.905855
2008.489009,2190.877839,2203.983302,1730.918491,2006.150026,2268.524609,1814.003304,2448.402958,2233.85953,1991.4305,1543.524003,1923.509624,2110.539185,2288.195221,1281.019896,1281.019896
2126.660741,2315.252865,2068.249566,1423.553561,1895.771446,2254.08532,1991.957971,2434.878176,2421.960236,2009.368926,1503.243174,2095.614917,1785.117911,2322.565663,1521.390094,1521.390094
2177.465453,2304.596722,1810.78454,1632.13219,1796.393009,2211.775831,2151.76614,2347.219938,2494.048597,2043.023762,1593.914633,2278.985918,1562.196358,2155.417565,1797.335236,1797.335236
2197.34142,2295.095171,1652.55339,1818.111344,1718.08143,2152.908721,2277.446389,2228.706376,2498.833907,2045.548542,1661.274758,2369.309028,1438.491644,1884.892381,2039.372486,2039.372486
